name,position,points,rank
Josh Reynolds,WR,65.57111944,987
Pierre Strong Jr.,RB,45.807713238,438
Melvin Gordon III,RB,0.0,2241
Nyheim Hines,RB,0.0,1455
Richie James,WR,22.679975513000002,1060
Sam Darnold,QB,45.143167009,452
Jacoby Brissett,QB,26.442942415,450
Israel Abanikanda,RB,12.542462013000002,1131
Boston Scott,RB,24.885810027000005,1055
Chris Rodriguez Jr.,RB,53.87973407999999,400
DeeJay Dallas,RB,40.184765378,404
Jaleel McLaughlin,RB,15.110096143000002,1115
Hendon Hooker,QB,0.0,1746
Daniel Bellinger,TE,45.67089236,474
Noah Gray,TE,57.395712164,467
Tim Patrick,WR,0.0,1458
Demario Douglas,WR,54.86947803000001,995
Will Dissly,TE,61.611227792,446
Craig Reynolds,RB,44.813004549000006,398
Devin Duvernay,WR,27.439951033,1050
Kyle Juszczyk,RB,28.391241908999998,1047
Rico Dowdle,RB,61.43687066000001,336
Tony Jones Jr.,RB,39.077452607000005,403
Joshua Dobbs,QB,62.02772054200001,431
Zach Wilson,QB,15.421205619000002,1112
Kenny McIntosh,RB,6.471638654,1176
Marcus Mariota,QB,41.518705705,476
Tucker Kraft,TE,54.095634372,998
Eric Gray,RB,15.221741454,1114
JaMycal Hasty,RB,35.500409970999996,439
Michael Badgley,K,0.0,2224
Jalen Tolbert,WR,37.001125198,1026
Kevin Harris,RB,0.0,2610
Isaiah McKenzie,WR,42.859336651999996,1011
Gardner Minshew,QB,28.212534328000004,478
Trent Sherfield,WR,58.111584506,993
Antonio Brown,WR,0.0,2271
Jonnu Smith,TE,59.07143510200001,460
Kalif Raymond,WR,57.02637402299999,994
Robert Tonyan,TE,29.356755409999998,1042
Foster Moreau,TE,51.171219906,461
C.J. Uzomah,TE,48.674578352000005,470
Gary Brightwell,RB,42.770604586999994,399
Ben Roethlisberger,QB,0.0,2289
Greg Dortch,WR,40.352669531,1018
Laviska Shenault Jr.,WR,54.668177547999996,996
Taylor Heinicke,QB,53.555652549,453
Rob Gronkowski,TE,0.0,2280
Tanner Brown,K,122.528060265,505
Robbie Gould,K,0.0,2292
Justin Jefferson,WR,322.20261628000003,1
Ja'Marr Chase,WR,313.661682179,2
Christian McCaffrey,RB,274.45647506200004,4
Travis Kelce,TE,279.45710648200003,5
Austin Ekeler,RB,274.74072986999994,3
Tyreek Hill,WR,293.666347238,6
Patrick Mahomes,QB,370.793897528,26
Stefon Diggs,WR,262.96821543600004,11
Josh Allen,QB,357.731753868,28
Saquon Barkley,RB,254.023350446,9
Jalen Hurts,QB,337.939352812,30
Davante Adams,WR,287.08207578900004,7
Derrick Henry,RB,257.367436166,10
CeeDee Lamb,WR,263.9486680659999,15
A.J. Brown,WR,227.59474618800004,18
Cooper Kupp,WR,284.777053505,13
Nick Chubb,RB,238.60012604999997,14
Justin Tucker,K,146.17619421999999,194
Josh Jacobs,RB,249.02954450400006,19
Tony Pollard,RB,244.79305942400003,12
Bijan Robinson,RB,254.761108046,8
Amon-Ra St. Brown,WR,242.22451923099996,17
Mark Andrews,TE,206.33403866000003,41
DK Metcalf,WR,230.087474616,22
Garrett Wilson,WR,250.13831262600002,16
Joe Mixon,RB,226.925597846,20
Tee Higgins,WR,228.62118643999997,23
Lamar Jackson,QB,328.702621134,42
49ers D/ST,ST,133.66538894500002,179
Jaylen Waddle,WR,230.81879696200002,21
Joe Burrow,QB,336.895501708,44
DeVonta Smith,WR,219.009650316,25
Deebo Samuel,WR,211.06255506200003,38
T.J. Hockenson,TE,192.44739696,54
Aaron Jones,RB,220.23338253599997,35
Travis Etienne Jr.,RB,214.940215472,32
Najee Harris,RB,215.176055596,33
Darren Waller,TE,186.078164668,72
Chris Olave,WR,220.83957370000002,24
Keenan Allen,WR,215.81615365800002,40
Evan McPherson,K,143.651624062,196
Rhamondre Stevenson,RB,220.47439752600002,36
Jahmyr Gibbs,RB,214.813596182,34
George Kittle,TE,166.088569632,79
Amari Cooper,WR,208.652068824,46
Calvin Ridley,WR,202.41127715700003,39
Daniel Carlson,K,140.549082931,195
DeAndre Hopkins,WR,202.42683830000001,48
Justin Herbert,QB,296.414291172,60
Justin Fields,QB,308.523425834,62
Harrison Butker,K,142.22176143299998,197
Dameon Pierce,RB,204.526061822,37
Jonathan Taylor,RB,132.39025492000002,70
Christian Watson,WR,208.221588843,47
Bills D/ST,ST,123.808915874,181
Kyle Pitts,TE,160.173385948,80
Steelers D/ST,ST,133.536672966,180
Kenneth Walker III,RB,197.79132079000001,57
Chris Godwin,WR,201.91575141599998,49
Dallas Goedert,TE,147.764415746,81
Breece Hall,RB,201.83924315799996,51
James Conner,RB,202.49595570400004,56
Rachaad White,RB,200.68262944200004,52
DJ Moore,WR,204.132707599,64
Diontae Johnson,WR,204.86726049499998,50
Trevor Lawrence,QB,282.053949786,84
Miles Sanders,RB,201.74668045600004,55
Alvin Kamara,RB,196.17187177800002,53
Cowboys D/ST,ST,124.46836887999999,187
Mike Evans,WR,204.485721014,65
Terry McLaurin,WR,198.788328425,68
Alexander Mattison,RB,202.64001334200003,58
Mike Williams,WR,200.95702889,66
Tyler Lockett,WR,199.114762018,76
James Cook,RB,196.08007738600003,59
Evan Engram,TE,149.29991365919997,108
Isiah Pacheco,RB,189.05994052200006,89
Jerry Jeudy,WR,195.29415553299998,74
Cam Akers,RB,195.46572394000003,71
Deshaun Watson,QB,297.27918578000003,82
Dalvin Cook,RB,155.453542236,91
Pat Freiermuth,TE,148.792870466,107
Brandon Aiyuk,WR,187.11701160200002,78
George Pickens,WR,180.76293653200003,94
Javonte Williams,RB,190.189129204,69
David Montgomery,RB,196.47677230600004,88
Drake London,WR,192.95252183600002,77
Saints D/ST,ST,134.066847474,182
Marquise Brown,WR,193.615022828,75
Christian Kirk,WR,189.26322365000004,92
J.K. Dobbins,RB,183.84901734000002,90
Graham Gano,K,140.23754582,200
David Njoku,TE,139.23106316960002,109
Michael Pittman Jr.,WR,178.02045861200003,93
D'Andre Swift,RB,162.964478608,103
Brandin Cooks,WR,188.910380143,95
Kirk Cousins,QB,285.114969686,121
Dak Prescott,QB,281.813925682,119
Courtland Sutton,WR,186.761390924,96
Aaron Rodgers,QB,268.221225268,153
AJ Dillon,RB,171.90424324000006,102
Odell Beckham Jr.,WR,151.730074931,118
Tyler Bass,K,139.058610472,202
Jahan Dotson,WR,173.031308566,97
Jason Myers,K,138.222714669,201
Khalil Herbert,RB,168.08606555799997,101
Michael Thomas,WR,163.54819951200002,114
Tua Tagovailoa,QB,257.290313508,127
Brian Robinson Jr.,RB,150.68010689,105
Dolphins D/ST,ST,128.76141704399998,185
Jamaal Williams,RB,137.42608717800002,134
Jaxon Smith-Njigba,WR,151.324047772,99
Jordan Addison,WR,167.11443186500003,112
Cole Kmet,TE,136.26979012200002,111
Skyy Moore,WR,168.11990757400002,100
JuJu Smith-Schuster,WR,167.55606189600002,116
Antonio Gibson,RB,150.485324436,106
Dalton Schultz,TE,134.140500794,141
Tyler Higbee,TE,142.848474124,143
Jake Elliott,K,142.41834874699998,203
Zay Flowers,WR,160.543691016,129
Gabe Davis,WR,162.302145896,131
Geno Smith,QB,271.972544498,155
Daniel Jones,QB,269.41838218,123
Jets D/ST,ST,109.97843086700001,189
Jakobi Meyers,WR,173.34862318159998,115
