,Simple,Simple,Simple,Simple,Simple,Simple,Simple,MCTS,Simple,Simple,Simple,Simple
0,WR Justin Jefferson,WR Ja'Marr Chase,RB Austin Ekeler,RB Christian McCaffrey,TE Travis Kelce,WR Cooper Kupp,WR Tyreek Hill,QB Patrick Mahomes,RB Bijan Robinson,RB Saquon Barkley,RB Derrick Henry,WR Davante Adams
1,WR Tee Higgins,WR DK Metcalf,WR Jaylen Waddle,RB Jonathan Taylor,WR A.J. Brown,WR Amon-Ra St. Brown,WR Garrett Wilson,RB Josh Jacobs,WR CeeDee Lamb,RB Nick Chubb,WR Stefon Diggs,RB Tony Pollard
2,WR Chris Olave,WR DeVonta Smith,QB Josh Allen,QB Jalen Hurts,RB Joe Mixon,RB Travis Etienne Jr.,RB Najee Harris,RB Aaron Jones,RB Jahmyr Gibbs,RB Rhamondre Stevenson,WR Deebo Samuel,WR Calvin Ridley
3,RB Breece Hall,RB Dameon Pierce,WR Diontae Johnson,WR Chris Godwin,WR DeAndre Hopkins,WR Christian Watson,WR Amari Cooper,TE T.J. Hockenson,QB Joe Burrow,QB Lamar Jackson,TE Mark Andrews,WR Keenan Allen
4,RB Rachaad White,RB Alvin Kamara,RB Miles Sanders,RB James Conner,RB Kenneth Walker III,RB Alexander Mattison,QB Justin Herbert,RB David Montgomery,WR DJ Moore,WR Mike Evans,QB Justin Fields,RB James Cook
5,QB Deshaun Watson,TE Dallas Goedert,WR Tyler Lockett,WR Marquise Brown,WR Jerry Jeudy,TE Kyle Pitts,TE George Kittle,RB Cam Akers,RB Javonte Williams,WR Terry McLaurin,WR Mike Williams,TE Darren Waller
6,WR Drake London,QB Trevor Lawrence,WR Brandon Aiyuk,RB Isiah Pacheco,RB J.K. Dobbins,RB Dalvin Cook,RB Khalil Herbert,RB AJ Dillon,WR Christian Kirk,WR Michael Pittman Jr.,RB D'Andre Swift,WR George Pickens
7,RB Antonio Gibson,RB Brian Robinson Jr.,TE Cole Kmet,TE David Njoku,WR Skyy Moore,WR Jaxon Smith-Njigba,WR Jahan Dotson,ST 49ers D/ST,TE Evan Engram,TE Pat Freiermuth,WR Courtland Sutton,WR Brandin Cooks
8,WR Jordan Addison,WR Treylon Burks,WR Michael Thomas,WR Jakobi Meyers,QB Dak Prescott,QB Kirk Cousins,WR JuJu Smith-Schuster,RB Samaje Perine,WR Odell Beckham Jr.,QB Daniel Jones,QB Tua Tagovailoa,WR Zay Flowers
9,WR Nico Collins,WR DJ Chark Jr.,TE Zach Ertz,TE Dalton Schultz,RB Jerick McKinnon,RB Rashaad Penny,RB Jeff Wilson Jr.,WR Darnell Mooney,RB Jamaal Williams,WR Rondale Moore,WR Gabe Davis,WR Quentin Johnston
10,WR Elijah Moore,WR Michael Gallup,WR Adam Thielen,QB Anthony Richardson,QB Aaron Rodgers,QB Geno Smith,QB Russell Wilson,WR Tyler Boyd,RB Zach Charbonnet,RB Devin Singletary,RB Elijah Mitchell,RB Ezekiel Elliott
11,TE Chigoziem Okonkwo,WR K.J. Osborn,ST Dolphins D/ST,WR Kadarius Toney,ST Saints D/ST,ST Bills D/ST,TE Dalton Kincaid,WR Allen Lazard,ST Steelers D/ST,TE Tyler Higbee,RB Tyler Allgeier,RB Jaylen Warren
12,WR Parris Campbell,ST Cowboys D/ST,TE Greg Dulcich,ST Browns D/ST,K Justin Tucker,K Daniel Carlson,ST Jets D/ST,K Evan McPherson,K Harrison Butker,ST Patriots D/ST,ST Packers D/ST,K Graham Gano
13,RB D'Onta Foreman,RB Kenneth Gainwell,RB Damien Harris,RB Gus Edwards,RB Raheem Mostert,RB Roschon Johnson,K Matt Gay,WR Hunter Renfrow,K Brett Maher,K Jake Elliott,K Tyler Bass,K Jason Myers
14,RB De'Von Achane,RB Kyren Williams,RB Tank Bigsby,RB Tyjae Spears,RB Jerome Ford,WR Zay Jones,WR Jonathan Mingo,QB Jared Goff,WR Chase Claypool,WR Curtis Samuel,WR Jayden Reed,QB Kenny Pickett
15,ST Bengals D/ST,ST Panthers D/ST,K Eddy Pineiro,K Younghoe Koo,TE Tyler Conklin,TE Jelani Woods,TE Sam LaPorta,TE Gerald Everett,QB Matthew Stafford,WR Rashod Bateman,WR Van Jefferson,WR Romeo Doubs
