,MCTS,Simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple
0,TE Travis Kelce,WR Justin Jefferson,WR Ja'Marr Chase,RB Austin Ekeler,RB Christian McCaffrey,WR Cooper Kupp,WR Tyreek Hill,RB Bijan Robinson,RB Saquon Barkley,RB Derrick Henry,WR Davante Adams,RB Tony Pollard
1,QB Patrick Mahomes,WR Tee Higgins,WR DK Metcalf,WR Jaylen Waddle,RB Jonathan Taylor,RB Josh Jacobs,WR A.J. Brown,WR Amon-Ra St. Brown,WR Garrett Wilson,WR CeeDee Lamb,RB Nick Chubb,WR Stefon Diggs
2,RB Joe Mixon,WR Chris Olave,WR DeVonta Smith,QB Josh Allen,QB Jalen Hurts,RB Travis Etienne Jr.,RB Najee Harris,RB Jahmyr Gibbs,RB Aaron Jones,RB Rhamondre Stevenson,WR Deebo Samuel,WR Calvin Ridley
3,RB James Conner,RB Breece Hall,RB Dameon Pierce,WR Diontae Johnson,WR Chris Godwin,WR DeAndre Hopkins,WR Christian Watson,WR Amari Cooper,QB Joe Burrow,QB Lamar Jackson,TE Mark Andrews,WR Keenan Allen
4,RB Miles Sanders,RB Rachaad White,TE T.J. Hockenson,RB Alvin Kamara,RB Kenneth Walker III,RB Alexander Mattison,QB Justin Herbert,QB Justin Fields,WR DJ Moore,WR Mike Evans,WR Mike Williams,RB James Cook
5,RB David Montgomery,TE Dallas Goedert,QB Deshaun Watson,WR Tyler Lockett,WR Marquise Brown,TE Kyle Pitts,TE George Kittle,WR Jerry Jeudy,RB Cam Akers,WR Terry McLaurin,RB Javonte Williams,TE Darren Waller
6,WR Drake London,QB Trevor Lawrence,RB Isiah Pacheco,WR Brandon Aiyuk,RB J.K. Dobbins,RB Dalvin Cook,RB Khalil Herbert,WR Christian Kirk,WR Michael Pittman Jr.,WR George Pickens,WR Brandin Cooks,WR Courtland Sutton
7,WR Jakobi Meyers,RB Antonio Gibson,RB Brian Robinson Jr.,RB D'Andre Swift,TE Cole Kmet,RB AJ Dillon,WR Skyy Moore,TE David Njoku,TE Evan Engram,TE Pat Freiermuth,WR Jaxon Smith-Njigba,WR Jahan Dotson
8,ST 49ers D/ST,WR Jordan Addison,WR Treylon Burks,WR Michael Thomas,WR JuJu Smith-Schuster,QB Dak Prescott,WR Odell Beckham Jr.,QB Kirk Cousins,QB Daniel Jones,QB Tua Tagovailoa,WR Zay Flowers,WR Quentin Johnston
9,TE Tyler Higbee,WR Darnell Mooney,WR DJ Chark Jr.,TE Zach Ertz,TE Dalton Schultz,RB Jerick McKinnon,RB Rashaad Penny,RB Samaje Perine,RB Jeff Wilson Jr.,RB Jamaal Williams,WR Rondale Moore,WR Gabe Davis
10,QB Geno Smith,WR Nico Collins,WR Elijah Moore,WR Michael Gallup,WR Adam Thielen,QB Anthony Richardson,QB Aaron Rodgers,QB Russell Wilson,RB Zach Charbonnet,RB Devin Singletary,RB Elijah Mitchell,RB Ezekiel Elliott
11,QB Jared Goff,WR Parris Campbell,WR K.J. Osborn,ST Dolphins D/ST,WR Tyler Boyd,WR Kadarius Toney,ST Saints D/ST,ST Bills D/ST,TE Dalton Kincaid,ST Steelers D/ST,RB Tyler Allgeier,RB Jaylen Warren
12,QB Kenny Pickett,ST Cowboys D/ST,TE Chigoziem Okonkwo,TE Greg Dulcich,ST Browns D/ST,ST Jets D/ST,K Justin Tucker,K Daniel Carlson,ST Patriots D/ST,K Evan McPherson,ST Packers D/ST,K Harrison Butker
13,QB Matthew Stafford,RB Kenneth Gainwell,RB Damien Harris,RB Gus Edwards,RB Raheem Mostert,RB Roschon Johnson,K Matt Gay,K Brett Maher,K Jake Elliott,K Tyler Bass,K Jason Myers,K Graham Gano
14,RB Joshua Kelley,RB D'Onta Foreman,RB De'Von Achane,RB Kyren Williams,RB Tank Bigsby,RB Tyjae Spears,RB Jerome Ford,WR Allen Lazard,WR Hunter Renfrow,WR Zay Jones,WR Jonathan Mingo,WR Chase Claypool
15,ST Bengals D/ST,TE Jelani Woods,ST Panthers D/ST,TE Sam LaPorta,K Eddy Pineiro,K Younghoe Koo,TE Gerald Everett,WR Rashod Bateman,WR Van Jefferson,WR Romeo Doubs,WR Jayden Reed,WR Curtis Samuel
